n {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
i 0 6 8 40 19 20 
i 2 0 10 18 5 6 
i 4 18 0 68 39 40 
i 28 10 52 0 1 8 
i 11 1 27 5 0 7 
i 12 2 28 4 3 0 
i 0 2 4 28 11 12 
i 6 0 18 10 1 2 
i 8 10 0 52 27 28 
i 40 18 68 0 5 4 
i 19 5 39 1 0 3 
i 20 6 40 8 7 0 
i 0 8 6 26 9 24 
i 4 0 18 10 1 8 
i 2 10 0 52 27 26 
i 38 18 68 0 5 6 
i 17 5 39 1 0 7 
i 16 4 38 2 3 0 
i 0 4 2 38 17 16 
i 8 0 10 18 5 4 
i 6 18 0 68 39 38 
i 26 10 52 0 1 2 
i 9 1 27 5 0 3 
i 24 8 26 6 7 0 
n {-1,3},{-1,4} {-1,3},{0,2} {0,0},{0,1} {0,0},{1,1} {0,2},{1,1} 
i 0 1 6 40 19 20 
i 5 0 19 69 40 41 
i 2 11 0 18 5 6 
i 28 53 10 0 1 8 
i 11 28 1 5 0 7 
i 12 29 2 4 3 0 
i 0 5 2 28 11 12 
i 1 0 11 53 28 29 
i 6 19 0 10 1 2 
i 40 69 18 0 5 4 
i 19 40 5 1 0 3 
i 20 41 6 8 7 0 
i 0 5 8 26 9 24 
i 1 0 9 51 26 25 
i 4 17 0 10 1 8 
i 38 67 18 0 5 6 
i 17 38 5 1 0 7 
i 16 37 4 2 3 0 
i 0 1 4 38 17 16 
i 5 0 17 67 38 37 
i 8 9 0 18 5 4 
i 26 51 10 0 1 2 
i 9 26 1 5 0 3 
i 24 25 8 6 7 0 
n {-2,4},{-1,3} {-1,3},{0,2} {0,0},{0,1} {0,0},{1,1} {0,2},{1,1} 
i 0 6 20 70 41 42 
i 2 0 6 40 19 20 
i 12 2 0 18 5 6 
i 54 28 10 0 1 8 
i 29 11 1 5 0 7 
i 30 12 2 4 3 0 
i 0 2 12 54 29 30 
i 6 0 2 28 11 12 
i 20 6 0 10 1 2 
i 70 40 18 0 5 4 
i 41 19 5 1 0 3 
i 42 20 6 8 7 0 
i 0 8 24 50 25 48 
i 4 0 8 26 9 24 
i 16 4 0 10 1 8 
i 66 38 18 0 5 6 
i 37 17 5 1 0 7 
i 36 16 4 2 3 0 
i 0 4 16 66 37 36 
i 8 0 4 38 17 16 
i 24 8 0 18 5 4 
i 50 26 10 0 1 2 
i 25 9 1 5 0 3 
i 48 24 8 6 7 0 
n {-2,2},{-1,3} {-1,3},{0,2} {0,0},{0,1} {0,0},{1,1} {0,2},{1,1} 
i 0 8 22 20 21 44 
i 4 0 6 40 19 20 
i 14 2 0 18 5 6 
i 12 28 10 0 1 8 
i 13 11 1 5 0 7 
i 32 12 2 4 3 0 
i 0 4 14 12 13 32 
i 8 0 2 28 11 12 
i 22 6 0 10 1 2 
i 20 40 18 0 5 4 
i 21 19 5 1 0 3 
i 44 20 6 8 7 0 
i 0 6 22 24 23 46 
i 2 0 8 26 9 24 
i 14 4 0 10 1 8 
i 16 38 18 0 5 6 
i 15 17 5 1 0 7 
i 34 16 4 2 3 0 
i 0 2 14 16 15 34 
i 6 0 4 38 17 16 
i 22 8 0 18 5 4 
i 24 26 10 0 1 2 
i 23 9 1 5 0 3 
i 46 24 8 6 7 0 
n {-1,1},{-1,2} {-1,1},{0,2} {0,0},{0,1} {0,0},{1,1} {0,2},{1,1} 
i 0 1 8 6 7 22 
i 5 0 7 19 6 21 
i 4 3 0 18 5 6 
i 2 11 10 0 1 8 
i 3 2 1 5 0 7 
i 14 13 2 4 3 0 
i 0 5 4 2 3 14 
i 1 0 3 11 2 13 
i 8 7 0 10 1 2 
i 6 19 18 0 5 4 
i 7 6 5 1 0 3 
i 22 21 6 8 7 0 
i 0 5 6 8 7 22 
i 1 0 7 9 8 23 
i 2 3 0 10 1 8 
i 4 17 18 0 5 6 
i 3 4 5 1 0 7 
i 14 15 4 2 3 0 
i 0 1 2 4 3 14 
i 5 0 3 17 4 15 
i 6 7 0 18 5 4 
i 8 9 10 0 1 2 
i 7 8 1 5 0 3 
i 22 23 8 6 7 0 
n {-2,2},{-1,1} {-1,1},{0,2} {0,0},{0,1} {0,0},{1,1} {0,2},{1,1} 
i 0 6 22 20 21 44 
i 2 0 8 6 7 22 
i 14 4 0 18 5 6 
i 12 2 10 0 1 8 
i 13 3 1 5 0 7 
i 32 14 2 4 3 0 
i 0 2 14 12 13 32 
i 6 0 4 2 3 14 
i 22 8 0 10 1 2 
i 20 6 18 0 5 4 
i 21 7 5 1 0 3 
i 44 22 6 8 7 0 
i 0 8 22 24 23 46 
i 4 0 6 8 7 22 
i 14 2 0 10 1 8 
i 16 4 18 0 5 6 
i 15 3 5 1 0 7 
i 34 14 4 2 3 0 
i 0 4 14 16 15 34 
i 8 0 2 4 3 14 
i 22 6 0 18 5 4 
i 24 8 10 0 1 2 
i 23 7 1 5 0 3 
i 46 22 8 6 7 0 
n {-2,0},{-1,1} {-1,1},{0,2} {0,0},{0,1} {0,0},{1,1} {0,2},{1,1} 
i 0 8 24 22 23 46 
i 4 0 8 6 7 22 
i 16 4 0 18 5 6 
i 14 2 10 0 1 8 
i 15 3 1 5 0 7 
i 34 14 2 4 3 0 
i 0 4 16 14 15 34 
i 8 0 4 2 3 14 
i 24 8 0 10 1 2 
i 22 6 18 0 5 4 
i 23 7 5 1 0 3 
i 46 22 6 8 7 0 
i 0 6 20 22 21 44 
i 2 0 6 8 7 22 
i 12 2 0 10 1 8 
i 14 4 18 0 5 6 
i 13 3 5 1 0 7 
i 32 14 4 2 3 0 
i 0 2 12 14 13 32 
i 6 0 2 4 3 14 
i 20 6 0 18 5 4 
i 22 8 10 0 1 2 
i 21 7 1 5 0 3 
i 44 22 8 6 7 0 
n {-1,0},{-1,1} {-1,1},{0,2} {0,0},{0,1} {0,0},{1,1} {0,2},{1,1} 
i 0 1 9 7 8 23 
i 5 0 8 6 7 22 
i 17 4 0 18 5 6 
i 3 2 10 0 1 8 
i 4 3 1 5 0 7 
i 15 14 2 4 3 0 
i 0 5 17 3 4 15 
i 1 0 4 2 3 14 
i 9 8 0 10 1 2 
i 7 6 18 0 5 4 
i 8 7 5 1 0 3 
i 23 22 6 8 7 0 
i 0 5 19 7 6 21 
i 1 0 6 8 7 22 
i 11 2 0 10 1 8 
i 3 4 18 0 5 6 
i 2 3 5 1 0 7 
i 13 14 4 2 3 0 
i 0 1 11 3 2 13 
i 5 0 2 4 3 14 
i 19 6 0 18 5 4 
i 7 8 10 0 1 2 
i 6 7 1 5 0 3 
i 21 22 8 6 7 0 
n {0,0},{0,1} {0,0},{1,1} {0,1},{1,2} {1,0},{1,1} {1,0},{2,1} 
i 0 1 8 9 7 23 
i 5 0 7 8 6 22 
i 4 3 0 1 5 7 
i 17 4 5 0 18 6 
i 3 2 1 10 0 8 
i 15 14 3 2 4 0 
i 0 5 4 17 3 15 
i 1 0 3 4 2 14 
i 8 7 0 5 1 3 
i 9 8 1 0 10 2 
i 7 6 5 18 0 4 
i 23 22 7 6 8 0 
i 0 5 6 19 7 21 
i 1 0 7 6 8 22 
i 2 3 0 5 1 7 
i 11 2 1 0 10 8 
i 3 4 5 18 0 6 
i 13 14 3 4 2 0 
i 0 1 2 11 3 13 
i 5 0 3 2 4 14 
i 6 7 0 1 5 3 
i 19 6 5 0 18 4 
i 7 8 1 10 0 2 
i 21 22 7 8 6 0 
n {0,-1},{1,0} {0,0},{0,1} {0,0},{1,1} {0,1},{1,2} {1,0},{1,1} 
i 0 8 1 10 9 26 
i 4 0 3 2 1 10 
i 5 7 0 1 8 9 
i 18 6 5 0 7 8 
i 17 5 4 3 0 1 
i 38 18 17 4 5 0 
i 0 6 5 18 19 40 
i 2 0 3 4 5 18 
i 1 7 0 5 6 19 
i 10 8 1 0 7 6 
i 11 1 2 3 0 5 
i 28 10 11 2 1 0 
n {0,0},{0,1} {0,0},{1,1} {0,1},{1,2} {1,-1},{1,0} {1,0},{1,1} 
i 0 1 8 9 6 7 
i 5 0 7 8 19 6 
i 4 3 0 1 18 5 
i 17 4 5 0 39 18 
i 2 11 10 27 0 1 
i 3 2 1 10 5 0 
i 0 5 4 17 2 3 
i 1 0 3 4 11 2 
i 8 7 0 5 10 1 
i 9 8 1 0 27 10 
i 6 19 18 39 0 5 
i 7 6 5 18 1 0 
i 0 5 6 19 8 7 
i 1 0 7 6 9 8 
i 2 3 0 5 10 1 
i 11 2 1 0 27 10 
i 4 17 18 39 0 5 
i 3 4 5 18 1 0 
i 0 1 2 11 4 3 
i 5 0 3 2 17 4 
i 6 7 0 1 18 5 
i 19 6 5 0 39 18 
i 8 9 10 27 0 1 
i 7 8 1 10 5 0 
n {0,0},{0,1} {0,0},{1,1} {0,1},{1,2} {1,0},{1,1} {1,0},{2,-1} 
i 0 1 8 9 7 21 
i 5 0 7 8 6 20 
i 4 3 0 1 5 19 
i 17 4 5 0 18 40 
i 3 2 1 10 0 6 
i 13 12 11 28 2 0 
i 0 5 4 17 3 13 
i 1 0 3 4 2 12 
i 8 7 0 5 1 11 
i 9 8 1 0 10 28 
i 7 6 5 18 0 2 
i 21 20 19 40 6 0 
i 0 5 6 19 7 23 
i 1 0 7 6 8 24 
i 2 3 0 5 1 9 
i 11 2 1 0 10 26 
i 3 4 5 18 0 8 
i 15 16 17 38 4 0 
i 0 1 2 11 3 15 
i 5 0 3 2 4 16 
i 6 7 0 1 5 17 
i 19 6 5 0 18 38 
i 7 8 1 10 0 4 
i 23 24 9 26 8 0 
n {0,0},{0,1} {0,0},{1,1} {0,1},{1,2} {1,0},{1,1} {1,2},{2,3} 
i 0 1 8 9 7 25 
i 5 0 7 8 6 24 
i 4 3 0 1 5 9 
i 17 4 5 0 18 8 
i 3 2 1 10 0 26 
i 37 16 17 4 38 0 
i 0 5 4 17 3 37 
i 1 0 3 4 2 16 
i 8 7 0 5 1 17 
i 9 8 1 0 10 4 
i 7 6 5 18 0 38 
i 25 24 9 8 26 0 
i 0 5 6 19 7 41 
i 1 0 7 6 8 20 
i 2 3 0 5 1 19 
i 11 2 1 0 10 6 
i 3 4 5 18 0 40 
i 29 12 11 2 28 0 
i 0 1 2 11 3 29 
i 5 0 3 2 4 12 
i 6 7 0 1 5 11 
i 19 6 5 0 18 2 
i 7 8 1 10 0 28 
i 41 20 19 6 40 0 
n {0,0},{0,1} {0,0},{1,1} {0,1},{1,2} {1,0},{1,1} {1,2},{1,3} 
i 0 1 8 9 7 26 
i 5 0 7 8 6 9 
i 4 3 0 1 5 10 
i 17 4 5 0 18 1 
i 3 2 1 10 0 27 
i 38 17 18 5 39 0 
i 0 5 4 17 3 38 
i 1 0 3 4 2 17 
i 8 7 0 5 1 18 
i 9 8 1 0 10 5 
i 7 6 5 18 0 39 
i 26 9 10 1 27 0 
i 0 5 6 19 7 40 
i 1 0 7 6 8 19 
i 2 3 0 5 1 18 
i 11 2 1 0 10 5 
i 3 4 5 18 0 39 
i 28 11 10 1 27 0 
i 0 1 2 11 3 28 
i 5 0 3 2 4 11 
i 6 7 0 1 5 10 
i 19 6 5 0 18 1 
i 7 8 1 10 0 27 
i 40 19 18 5 39 0 
n {0,0},{0,1} {0,0},{1,1} {0,1},{1,2} {0,3},{1,2} {1,0},{1,1} 
i 0 1 8 9 27 7 
i 5 0 7 8 10 6 
i 4 3 0 1 11 5 
i 17 4 5 0 2 18 
i 39 18 19 6 0 40 
i 3 2 1 10 28 0 
i 0 5 4 17 39 3 
i 1 0 3 4 18 2 
i 8 7 0 5 19 1 
i 9 8 1 0 6 10 
i 27 10 11 2 0 28 
i 7 6 5 18 40 0 
i 0 5 6 19 39 7 
i 1 0 7 6 18 8 
i 2 3 0 5 17 1 
i 11 2 1 0 4 10 
i 27 10 9 8 0 26 
i 3 4 5 18 38 0 
i 0 1 2 11 27 3 
i 5 0 3 2 10 4 
i 6 7 0 1 9 5 
i 19 6 5 0 8 18 
i 39 18 17 4 0 38 
i 7 8 1 10 26 0 
n {0,0},{0,1} {0,0},{1,1} {0,1},{1,2} {1,0},{1,1} {1,2},{2,1} 
i 0 1 8 9 7 23 
i 5 0 7 8 6 22 
i 4 3 0 1 5 7 
i 17 4 5 0 18 6 
i 3 2 1 10 0 8 
i 15 14 3 2 4 0 
i 0 5 4 17 3 15 
i 1 0 3 4 2 14 
i 8 7 0 5 1 3 
i 9 8 1 0 10 2 
i 7 6 5 18 0 4 
i 23 22 7 6 8 0 
i 0 5 6 19 7 21 
i 1 0 7 6 8 22 
i 2 3 0 5 1 7 
i 11 2 1 0 10 8 
i 3 4 5 18 0 6 
i 13 14 3 4 2 0 
i 0 1 2 11 3 13 
i 5 0 3 2 4 14 
i 6 7 0 1 5 3 
i 19 6 5 0 18 4 
i 7 8 1 10 0 2 
i 21 22 7 8 6 0 
n {0,0},{0,1} {0,0},{1,1} {0,1},{0,2} {1,0},{1,1} {1,0},{2,1} 
i 0 1 8 10 7 23 
i 5 0 7 1 6 22 
i 4 3 0 2 5 7 
i 18 5 6 0 19 21 
i 3 2 1 11 0 8 
i 15 14 3 13 4 0 
i 0 5 4 18 3 15 
i 1 0 3 5 2 14 
i 8 7 0 6 1 3 
i 10 1 2 0 11 13 
i 7 6 5 19 0 4 
i 23 22 7 21 8 0 
i 0 5 6 18 7 21 
i 1 0 7 5 8 22 
i 2 3 0 4 1 7 
i 10 1 8 0 9 23 
i 3 4 5 17 0 6 
i 13 14 3 15 2 0 
i 0 1 2 10 3 13 
i 5 0 3 1 4 14 
i 6 7 0 8 5 3 
i 18 5 4 0 17 15 
i 7 8 1 9 0 2 
i 21 22 7 23 6 0 
n {0,0},{0,1} {0,0},{1,1} {0,1},{0,2} {1,-1},{1,0} {1,0},{1,1} 
i 0 1 8 10 6 7 
i 5 0 7 1 19 6 
i 4 3 0 2 18 5 
i 18 5 6 0 40 19 
i 2 11 10 28 0 1 
i 3 2 1 11 5 0 
i 0 5 6 18 8 7 
i 1 0 7 5 9 8 
i 2 3 0 4 10 1 
i 10 1 8 0 26 9 
i 4 17 18 38 0 5 
i 3 4 5 17 1 0 
n {0,0},{0,1} {0,0},{1,1} {0,1},{0,2} {1,0},{1,1} {1,0},{2,-1} 
i 0 1 8 10 7 21 
i 5 0 7 1 6 20 
i 4 3 0 2 5 19 
i 18 5 6 0 19 41 
i 3 2 1 11 0 6 
i 13 12 11 29 2 0 
i 0 5 4 18 3 13 
i 1 0 3 5 2 12 
i 8 7 0 6 1 11 
i 10 1 2 0 11 29 
i 7 6 5 19 0 2 
i 21 20 19 41 6 0 
i 0 5 6 18 7 23 
i 1 0 7 5 8 24 
i 2 3 0 4 1 9 
i 10 1 8 0 9 25 
i 3 4 5 17 0 8 
i 15 16 17 37 4 0 
i 0 1 2 10 3 15 
i 5 0 3 1 4 16 
i 6 7 0 8 5 17 
i 18 5 4 0 17 37 
i 7 8 1 9 0 4 
i 23 24 9 25 8 0 
n {0,0},{0,1} {0,0},{1,1} {0,1},{0,2} {0,2},{1,3} {1,0},{1,1} 
i 0 1 8 10 26 7 
i 5 0 7 1 9 6 
i 4 3 0 2 10 5 
i 18 5 6 0 8 19 
i 38 17 18 4 0 39 
i 3 2 1 11 27 0 
i 0 5 4 18 38 3 
i 1 0 3 5 17 2 
i 8 7 0 6 18 1 
i 10 1 2 0 4 11 
i 26 9 10 8 0 27 
i 7 6 5 19 39 0 
i 0 5 6 18 40 7 
i 1 0 7 5 19 8 
i 2 3 0 4 18 1 
i 10 1 8 0 6 9 
i 28 11 10 2 0 27 
i 3 4 5 17 39 0 
i 0 1 2 10 28 3 
i 5 0 3 1 11 4 
i 6 7 0 8 10 5 
i 18 5 4 0 2 17 
i 40 19 18 6 0 39 
i 7 8 1 9 27 0 
n {0,0},{0,1} {0,0},{1,1} {0,1},{0,2} {0,2},{0,3} {1,0},{1,1} 
i 0 1 8 10 27 7 
i 5 0 7 1 10 6 
i 4 3 0 2 11 5 
i 18 5 6 0 1 19 
i 39 18 19 5 0 40 
i 3 2 1 11 28 0 
i 0 5 4 18 39 3 
i 1 0 3 5 18 2 
i 8 7 0 6 19 1 
i 10 1 2 0 5 11 
i 27 10 11 1 0 28 
i 7 6 5 19 40 0 
i 0 5 6 18 39 7 
i 1 0 7 5 18 8 
i 2 3 0 4 17 1 
i 10 1 8 0 5 9 
i 27 10 9 1 0 26 
i 3 4 5 17 38 0 
i 0 1 2 10 27 3 
i 5 0 3 1 10 4 
i 6 7 0 8 9 5 
i 18 5 4 0 1 17 
i 39 18 17 5 0 38 
i 7 8 1 9 26 0 
n {-1,3},{0,2} {0,0},{0,1} {0,0},{1,1} {0,1},{0,2} {1,0},{1,1} 
i 0 6 40 19 20 41 
i 2 0 18 5 6 19 
i 28 10 0 1 8 7 
i 11 1 5 0 7 6 
i 12 2 4 3 0 5 
i 29 11 3 2 1 0 
i 0 2 28 11 12 29 
i 6 0 10 1 2 11 
i 40 18 0 5 4 3 
i 19 5 1 0 3 2 
i 20 6 8 7 0 1 
i 41 19 7 6 5 0 
i 0 8 26 9 24 25 
i 4 0 10 1 8 9 
i 38 18 0 5 6 7 
i 17 5 1 0 7 8 
i 16 4 2 3 0 1 
i 37 17 3 4 5 0 
i 0 4 38 17 16 37 
i 8 0 18 5 4 17 
i 26 10 0 1 2 3 
i 9 1 5 0 3 4 
i 24 8 6 7 0 5 
i 25 9 7 8 1 0 
n {-1,1},{0,2} {0,0},{0,1} {0,0},{1,1} {0,1},{0,2} {1,0},{1,1} 
i 0 8 6 7 22 21 
i 4 0 18 5 6 19 
i 2 10 0 1 8 7 
i 3 1 5 0 7 6 
i 14 2 4 3 0 5 
i 13 11 3 2 1 0 
i 0 4 2 3 14 13 
i 8 0 10 1 2 11 
i 6 18 0 5 4 3 
i 7 5 1 0 3 2 
i 22 6 8 7 0 1 
i 21 19 7 6 5 0 
i 0 6 8 7 22 23 
i 2 0 10 1 8 9 
i 4 18 0 5 6 7 
i 3 5 1 0 7 8 
i 14 4 2 3 0 1 
i 15 17 3 4 5 0 
i 0 2 4 3 14 15 
i 6 0 18 5 4 17 
i 8 10 0 1 2 3 
i 7 1 5 0 3 4 
i 22 8 6 7 0 5 
i 23 9 7 8 1 0 
n {-1,2},{0,1} {0,0},{0,1} {0,0},{1,1} {1,0},{1,1} {1,0},{2,1} 
i 0 6 19 21 20 44 
i 2 0 5 7 6 22 
i 11 1 0 8 7 23 
i 13 3 4 0 5 7 
i 12 2 3 1 0 8 
i 32 14 15 3 4 0 
i 0 2 11 13 12 32 
i 6 0 1 3 2 14 
i 19 5 0 4 3 15 
i 21 7 8 0 1 3 
i 20 6 7 5 0 4 
i 44 22 23 7 8 0 
i 0 8 9 23 24 46 
i 4 0 1 7 8 22 
i 17 5 0 6 7 21 
i 15 3 2 0 1 7 
i 16 4 3 5 0 6 
i 34 14 13 3 2 0 
i 0 4 17 15 16 34 
i 8 0 5 3 4 14 
i 9 1 0 2 3 13 
i 23 7 6 0 5 3 
i 24 8 7 1 0 2 
i 46 22 21 7 6 0 
n {-1,2},{0,1} {0,0},{0,1} {0,0},{1,1} {1,0},{1,1} {1,0},{2,-1} 
i 0 6 19 21 20 42 
i 2 0 5 7 6 20 
i 11 1 0 8 7 21 
i 13 3 4 0 5 19 
i 12 2 3 1 0 6 
i 30 12 13 11 2 0 
i 0 8 9 23 24 48 
i 4 0 1 7 8 24 
i 17 5 0 6 7 23 
i 15 3 2 0 1 9 
i 16 4 3 5 0 8 
i 36 16 15 17 4 0 
n {-1,2},{0,1} {-1,2},{0,3} {0,0},{0,1} {0,0},{1,1} {1,0},{1,1} 
i 0 6 8 19 21 20 
i 2 0 10 5 7 6 
i 4 18 0 39 19 40 
i 11 1 27 0 8 7 
i 13 3 11 4 0 5 
i 12 2 28 3 1 0 
i 0 2 4 11 13 12 
i 6 0 18 1 3 2 
i 8 10 0 27 11 28 
i 19 5 39 0 4 3 
i 21 7 19 8 0 1 
i 20 6 40 7 5 0 
i 0 8 6 9 23 24 
i 4 0 18 1 7 8 
i 2 10 0 27 9 26 
i 17 5 39 0 6 7 
i 15 3 17 2 0 1 
i 16 4 38 3 5 0 
i 0 4 2 17 15 16 
i 8 0 10 5 3 4 
i 6 18 0 39 17 38 
i 9 1 27 0 2 3 
i 23 7 9 6 0 5 
i 24 8 26 7 1 0 
n {-1,2},{-1,3} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,1} {1,0},{1,1} 
i 0 1 6 19 21 20 
i 5 0 19 40 20 41 
i 2 11 0 5 7 6 
i 11 28 1 0 8 7 
i 13 12 3 4 0 5 
i 12 29 2 3 1 0 
i 0 5 2 11 13 12 
i 1 0 11 28 12 29 
i 6 19 0 1 3 2 
i 19 40 5 0 4 3 
i 21 20 7 8 0 1 
i 20 41 6 7 5 0 
i 0 5 8 9 23 24 
i 1 0 9 26 24 25 
i 4 17 0 1 7 8 
i 17 38 5 0 6 7 
i 15 16 3 2 0 1 
i 16 37 4 3 5 0 
i 0 1 4 17 15 16 
i 5 0 17 38 16 37 
i 8 9 0 5 3 4 
i 9 26 1 0 2 3 
i 23 24 7 6 0 5 
i 24 25 8 7 1 0 
n {-2,3},{-1,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,1} {1,0},{1,1} 
i 0 6 20 41 43 42 
i 2 0 6 19 21 20 
i 12 2 0 5 7 6 
i 29 11 1 0 8 7 
i 31 13 3 4 0 5 
i 30 12 2 3 1 0 
i 0 2 12 29 31 30 
i 6 0 2 11 13 12 
i 20 6 0 1 3 2 
i 41 19 5 0 4 3 
i 43 21 7 8 0 1 
i 42 20 6 7 5 0 
i 0 8 24 25 47 48 
i 4 0 8 9 23 24 
i 16 4 0 1 7 8 
i 37 17 5 0 6 7 
i 35 15 3 2 0 1 
i 36 16 4 3 5 0 
i 0 4 16 37 35 36 
i 8 0 4 17 15 16 
i 24 8 0 5 3 4 
i 25 9 1 0 2 3 
i 47 23 7 6 0 5 
i 48 24 8 7 1 0 
n {-2,1},{-1,2} {-1,2},{0,1} {0,0},{0,1} {0,0},{1,1} {1,0},{1,1} 
i 0 8 22 21 45 44 
i 4 0 6 19 21 20 
i 14 2 0 5 7 6 
i 13 11 1 0 8 7 
i 33 13 3 4 0 5 
i 32 12 2 3 1 0 
i 0 4 14 13 33 32 
i 8 0 2 11 13 12 
i 22 6 0 1 3 2 
i 21 19 5 0 4 3 
i 45 21 7 8 0 1 
i 44 20 6 7 5 0 
i 0 6 22 23 45 46 
i 2 0 8 9 23 24 
i 14 4 0 1 7 8 
i 15 17 5 0 6 7 
i 33 15 3 2 0 1 
i 34 16 4 3 5 0 
i 0 2 14 15 33 34 
i 6 0 4 17 15 16 
i 22 8 0 5 3 4 
i 23 9 1 0 2 3 
i 45 23 7 6 0 5 
i 46 24 8 7 1 0 
n {-1,0},{0,1} {0,0},{0,1} {0,0},{1,1} {1,0},{1,1} {1,0},{2,1} 
i 0 8 7 23 22 46 
i 4 0 5 7 6 22 
i 3 1 0 8 7 23 
i 15 3 4 0 5 7 
i 14 2 3 1 0 8 
i 34 14 15 3 4 0 
i 0 6 7 21 22 44 
i 2 0 1 7 8 22 
i 3 5 0 6 7 21 
i 13 3 2 0 1 7 
i 14 4 3 5 0 6 
i 32 14 13 3 2 0 
n {-1,0},{-1,1} {-1,0},{0,1} {0,0},{0,1} {0,0},{1,1} {1,0},{1,1} 
i 0 1 8 7 23 22 
i 5 0 7 6 22 21 
i 4 3 0 5 7 6 
i 3 2 1 0 8 7 
i 15 14 3 4 0 5 
i 14 13 2 3 1 0 
i 0 5 6 7 21 22 
i 1 0 7 8 22 23 
i 2 3 0 1 7 8 
i 3 4 5 0 6 7 
i 13 14 3 2 0 1 
i 14 15 4 3 5 0 
n {-2,1},{-1,0} {-1,0},{0,1} {0,0},{0,1} {0,0},{1,1} {1,0},{1,1} 
i 0 6 22 21 45 44 
i 2 0 8 7 23 22 
i 14 4 0 5 7 6 
i 13 3 1 0 8 7 
i 33 15 3 4 0 5 
i 32 14 2 3 1 0 
i 0 2 14 13 33 32 
i 6 0 4 3 15 14 
i 22 8 0 1 3 2 
i 21 7 5 0 4 3 
i 45 23 7 8 0 1 
i 44 22 6 7 5 0 
i 0 8 22 23 45 46 
i 4 0 6 7 21 22 
i 14 2 0 1 7 8 
i 15 3 5 0 6 7 
i 33 13 3 2 0 1 
i 34 14 4 3 5 0 
i 0 4 14 15 33 34 
i 8 0 2 3 13 14 
i 22 6 0 5 3 4 
i 23 7 1 0 2 3 
i 45 21 7 6 0 5 
i 46 22 8 7 1 0 
n {0,0},{0,1} {0,0},{1,1} {0,1},{1,2} {1,1},{2,0} {2,0},{3,1} 
i 0 1 8 9 22 46 
i 5 0 7 8 21 45 
i 4 3 0 1 6 22 
i 17 4 5 0 19 21 
i 14 13 2 11 0 8 
i 34 33 14 13 4 0 
i 0 5 4 17 14 34 
i 1 0 3 4 13 33 
i 8 7 0 5 2 14 
i 9 8 1 0 11 13 
i 22 21 6 19 0 4 
i 46 45 22 21 8 0 
i 0 5 6 19 22 44 
i 1 0 7 6 23 45 
i 2 3 0 5 8 22 
i 11 2 1 0 9 23 
i 14 15 4 17 0 6 
i 32 33 14 15 2 0 
i 0 1 2 11 14 32 
i 5 0 3 2 15 33 
i 6 7 0 1 4 14 
i 19 6 5 0 17 15 
i 22 23 8 9 0 2 
i 44 45 22 23 6 0 
n {0,0},{0,1} {0,0},{1,1} {0,1},{1,2} {1,1},{2,0} {2,0},{2,1} 
i 0 1 8 9 22 23 
i 5 0 7 8 21 22 
i 4 3 0 1 6 7 
i 17 4 5 0 19 6 
i 14 13 2 11 0 1 
i 15 14 3 2 5 0 
i 0 5 4 17 14 15 
i 1 0 3 4 13 14 
i 8 7 0 5 2 3 
i 9 8 1 0 11 2 
i 22 21 6 19 0 5 
i 23 22 7 6 1 0 
i 0 5 6 19 22 21 
i 1 0 7 6 23 22 
i 2 3 0 5 8 7 
i 11 2 1 0 9 8 
i 14 15 4 17 0 5 
i 13 14 3 4 1 0 
i 0 1 2 11 14 13 
i 5 0 3 2 15 14 
i 6 7 0 1 4 3 
i 19 6 5 0 17 4 
i 22 23 8 9 0 1 
i 21 22 7 8 5 0 
n {0,0},{0,1} {0,0},{1,1} {0,1},{1,2} {1,-1},{2,0} {1,1},{2,0} 
i 0 1 8 9 6 22 
i 5 0 7 8 19 21 
i 4 3 0 1 18 6 
i 17 4 5 0 39 19 
i 2 11 10 27 0 8 
i 14 13 2 11 4 0 
i 0 5 4 17 2 14 
i 1 0 3 4 11 13 
i 8 7 0 5 10 2 
i 9 8 1 0 27 11 
i 6 19 18 39 0 4 
i 22 21 6 19 8 0 
i 0 5 6 19 8 22 
i 1 0 7 6 9 23 
i 2 3 0 5 10 8 
i 11 2 1 0 27 9 
i 4 17 18 39 0 6 
i 14 15 4 17 2 0 
i 0 1 2 11 4 14 
i 5 0 3 2 17 15 
i 6 7 0 1 18 4 
i 19 6 5 0 39 17 
i 8 9 10 27 0 2 
i 22 23 8 9 6 0 
n {0,0},{0,1} {0,0},{1,1} {0,1},{1,2} {1,1},{2,0} {2,-1},{2,0} 
i 0 1 8 9 22 21 
i 5 0 7 8 21 20 
i 4 3 0 1 6 19 
i 17 4 5 0 19 40 
i 14 13 2 11 0 5 
i 13 12 11 28 1 0 
i 0 5 4 17 14 13 
i 1 0 3 4 13 12 
i 8 7 0 5 2 11 
i 9 8 1 0 11 28 
i 22 21 6 19 0 1 
i 21 20 19 40 5 0 
i 0 5 6 19 22 23 
i 1 0 7 6 23 24 
i 2 3 0 5 8 9 
i 11 2 1 0 9 26 
i 14 15 4 17 0 1 
i 15 16 17 38 5 0 
i 0 1 2 11 14 15 
i 5 0 3 2 15 16 
i 6 7 0 1 4 17 
i 19 6 5 0 17 38 
