n {0,0},{0,1} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,1} 
i 0 8 23 24 47 
i 4 0 7 8 23 
i 15 3 0 1 8 
i 16 4 5 0 7 
i 35 15 4 3 0 
i 0 4 15 16 35 
i 8 0 3 4 15 
i 23 7 0 5 4 
i 24 8 1 0 3 
i 47 23 8 7 0 
i 0 6 21 20 43 
i 2 0 7 6 21 
i 13 3 0 5 6 
i 12 2 1 0 7 
i 31 13 2 3 0 
i 0 2 13 12 31 
i 6 0 3 2 13 
i 21 7 0 1 2 
i 20 6 5 0 3 
i 43 21 6 7 0 
n {-1,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,2} 
i 0 8 23 24 48 
i 4 0 7 8 24 
i 15 3 0 1 9 
i 16 4 5 0 8 
i 36 16 17 4 0 
i 0 4 15 16 36 
i 8 0 3 4 16 
i 23 7 0 5 17 
i 24 8 1 0 4 
i 48 24 9 8 0 
i 0 6 21 20 42 
i 2 0 7 6 20 
i 13 3 0 5 19 
i 12 2 1 0 6 
i 30 12 11 2 0 
i 0 2 13 12 30 
i 6 0 3 2 12 
i 21 7 0 1 11 
i 20 6 5 0 2 
i 42 20 19 6 0 
n {-1,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{1,2} 
i 0 8 23 24 25 
i 4 0 7 8 9 
i 15 3 0 1 10 
i 16 4 5 0 1 
i 37 17 18 5 0 
i 0 4 15 16 37 
i 8 0 3 4 17 
i 23 7 0 5 18 
i 24 8 1 0 5 
i 25 9 10 1 0 
i 0 6 21 20 41 
i 2 0 7 6 19 
i 13 3 0 5 18 
i 12 2 1 0 5 
i 29 11 10 1 0 
i 0 2 13 12 29 
i 6 0 3 2 11 
i 21 7 0 1 10 
i 20 6 5 0 1 
i 41 19 18 5 0 
n {-1,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,2},{1,1} 
i 0 8 23 24 26 
i 4 0 7 8 10 
i 15 3 0 1 11 
i 16 4 5 0 2 
i 38 18 19 6 0 
i 0 4 15 16 38 
i 8 0 3 4 18 
i 23 7 0 5 19 
i 24 8 1 0 6 
i 26 10 11 2 0 
i 0 6 21 20 40 
i 2 0 7 6 18 
i 13 3 0 5 17 
i 12 2 1 0 4 
i 28 10 9 8 0 
i 0 2 13 12 28 
i 6 0 3 2 10 
i 21 7 0 1 9 
i 20 6 5 0 8 
i 40 18 17 4 0 
n {-1,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {0,1},{1,1} 
i 0 8 23 24 9 
i 4 0 7 8 1 
i 15 3 0 1 2 
i 16 4 5 0 3 
i 17 5 6 7 0 
i 0 4 15 16 17 
i 8 0 3 4 5 
i 23 7 0 5 6 
i 24 8 1 0 7 
i 9 1 2 3 0 
i 0 6 21 20 19 
i 2 0 7 6 5 
i 13 3 0 5 4 
i 12 2 1 0 3 
i 11 1 8 7 0 
i 0 2 13 12 11 
i 6 0 3 2 1 
i 21 7 0 1 8 
i 20 6 5 0 7 
i 19 5 4 3 0 
n {-1,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} {1,1},{2,0} 
i 0 8 23 24 46 
i 4 0 7 8 22 
i 15 3 0 1 7 
i 16 4 5 0 6 
i 34 14 3 2 0 
i 0 4 15 16 34 
i 8 0 3 4 14 
i 23 7 0 5 3 
i 24 8 1 0 2 
i 46 22 7 6 0 
i 0 6 21 20 44 
i 2 0 7 6 22 
i 13 3 0 5 7 
i 12 2 1 0 8 
i 32 14 3 4 0 
i 0 2 13 12 32 
i 6 0 3 2 14 
i 21 7 0 1 3 
i 20 6 5 0 4 
i 44 22 7 8 0 
n {-1,-1},{0,-1} {-1,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 7 8 23 24 
i 3 0 1 8 9 
i 4 5 0 7 8 
i 15 4 3 0 1 
i 16 17 4 5 0 
i 0 3 4 15 16 
i 7 0 5 4 17 
i 8 1 0 3 4 
i 23 8 7 0 5 
i 24 9 8 1 0 
i 0 7 6 21 20 
i 3 0 5 6 19 
i 2 1 0 7 6 
i 13 2 3 0 5 
i 12 11 2 1 0 
i 0 3 2 13 12 
i 7 0 1 2 11 
i 6 5 0 3 2 
i 21 6 7 0 1 
i 20 19 6 5 0 
n {-1,-1},{-1,0} {-1,-1},{0,0} {0,0},{1,0} {0,0},{1,0} {0,0},{1,1} 
i 0 1 8 23 24 
i 5 0 7 22 23 
i 4 3 0 7 8 
i 15 14 3 0 1 
i 16 15 4 5 0 
i 0 5 4 15 16 
i 1 0 3 14 15 
i 8 7 0 3 4 
i 23 22 7 0 5 
i 24 23 8 1 0 
i 0 5 6 21 20 
i 1 0 7 22 21 
i 2 3 0 7 6 
i 13 14 3 0 5 
i 12 13 2 1 0 
i 0 1 2 13 12 
i 5 0 3 14 13 
i 6 7 0 3 2 
i 21 22 7 0 1 
